Name,Category 1,Nationality,Description,,
Adriana Karembeu,Autre domaine,France,mannequin et animatrice tv,,
Albert Einstein,Autre domaine,Other,physicien,,
Andy Warhol,Autre domaine,Other,artiste (pop art),,
Alexandre Dumas,Autre domaine,France,écrivain (Les Trois Mousquetaires),,
Anna Wintour,Autre domaine,Other,reine de la mode (ex rédactrice en chef du magazine Vogue),,
Aristote,Autre domaine,Other,philosophe,,
Arthur (animateur),Autre domaine,France,animateur tv,,
Arthur Rimbaud,Autre domaine,France,écrivain/poète,,
Bella Hadid,Autre domaine,Other,mannequin,,
Benjamin Castaldi,Autre domaine,France,animateur et chroniqueur radio/tv,,
Bill Gates,Autre domaine,Other,cofondateur de Microsoft,,
Bernard Arnault,Autre domaine,France,patron du groupe de luxe LVMH,,
Bernard-Henri Lévy,Autre domaine,Other,philosophe et écrivain,,
Charles Darwin,Autre domaine,Other,auteur de la théorie de l'évolution des espèces,,
Christophe Colomb,Autre domaine,Other,navigateur ayant découvert l'Amérique,,
Clara Morgane,Autre domaine,France,"actrice, animatrice et chanteuse",,
Coco Chanel,Autre domaine,France,créatrice de mode,,
Cyprien Iov,Autre domaine,France,youtubeur ,,
Cyril Hanouna,Autre domaine,France,animateur radio/tv,,
Cyril Lignac,Autre domaine,France,chef cuisinier et animateur tv,,
Denis Brogniart,Autre domaine,France,animateur tv (koh lanta),,
Élise Lucet,Autre domaine,France,journaliste et présentatrice tv,,
Elon Musk,Autre domaine,Other,"patron de Tesla, X (ex-twitter)...",,
Émile Zola,Autre domaine,France,écrivain,,
Gigi Hadid,Autre domaine,Other,mannequin,,
Gordon Ramsay,Autre domaine,Other,chef cuisinier et animateur tv,,
Gustave Courbet,Autre domaine,France,peintre et sculpteur,,
Hayao Miyazaki,Autre domaine,Other,"réalisateur, cofondateur des studios Ghibli",,
Honoré de Balzac,Autre domaine,France,écrivain,,
Inoxtag,Autre domaine,France,youtubeur ,,
Isaac Newton,Autre domaine,Other,scientifique ayant défini les lois de la gravité,,
J. K. Rowling,Autre domaine,Other,écrivaine (Harry Potter),,
J. R. R. Tolkien,Autre domaine,Other,écrivain (Le seigneur des Anneaux),,
Jacques-Yves Cousteau,Autre domaine,France,"Commandant Cousteau, pionnier de la plongée et explorateur",,
Jean-Jacques Rousseau,Autre domaine,France,écrivain et philosophe,,
Jean-Luc Reichmann,Autre domaine,France,animateur tv et acteur,,
Jean-Pierre Foucault,Autre domaine,France,animateur tv ,,
Jeff Bezos,Autre domaine,Other,fondateur de Amazon,,
Jules Verne,Autre domaine,France,écrivain,,
Julien Courbet,Autre domaine,France,animateur radio/tv,,
Karine Le Marchand,Autre domaine,France,animatrice tv,,
Karl Lagerfeld,Autre domaine,Other,grand couturier et styliste de mode (Chanel),,
Karl Marx,Autre domaine,Other,philosophe et économiste,,
Kim Kardashian,Autre domaine,Other,"influenceuse, star de la télé-réalité",,
Kylie Jenner,Autre domaine,Other,influenceuse ,,
Laurent Delahousse,Autre domaine,France,présentateur tv,,
Laurent Ruquier,Autre domaine,France,animateur radio/tv,,
Léna Situations,Autre domaine,France,youtubeuse,,
Léon Tolstoï,Autre domaine,Other,écrivain,,
Léonard de Vinci,Autre domaine,Other,"inventeur, peintre (La Joconde)",,
Marcel Pagnol,Autre domaine,France,écrivain,,
Marco Polo,Autre domaine,Other,navigateur,,
Mark Zuckerberg,Autre domaine,Other,fondateur de Facebook,,
Marie Curie,Autre domaine,Other,Prix Nobel de chimie et de physique,,
Michel Cymes,Autre domaine,France,"médecin, animateur tv",,
Michel Drucker,Autre domaine,France,animateur tv,,
Mister V,Autre domaine,France,youtubeur ,,
Molière,Autre domaine,France,comédien et dramaturge,,
Montesquieu,Autre domaine,France,philosophe,,
MrBeast,Autre domaine,Other,youtubeur ,,
